appId,url,adSupported,containsAds,released,title,score,reviews,price,free,genre,ratings,installs,size,contentRating,contentRatingDescription
com.iqoption,https://play.google.com/store/apps/details?id=com.iqoption&hl=en&gl=us,,,,IQ Option – Online Investing Platform,3.9500873,180508.0,0.0,True,Finance,447684.0,"50,000,000+",30M,Everyone,
com.jaumo.casual,https://play.google.com/store/apps/details?id=com.jaumo.casual&hl=en&gl=us,True,True,"Oct 6, 2017",Joyride – Open-Minded Dating & Passionate Singles,4.323741,77062.0,0.0,True,Dating,195161.0,"10,000,000+",16M,Mature 17+,
de.elfsoft.bestbrokers,https://play.google.com/store/apps/details?id=de.elfsoft.bestbrokers&hl=en&gl=us,True,True,"Oct 4, 2015",Best Brokers: Stock Simulator,4.3937197,4875.0,0.0,True,Finance,16631.0,"1,000,000+",6.0M,Everyone,
com.propagator.squeezy,https://play.google.com/store/apps/details?id=com.propagator.squeezy&hl=en&gl=us,,,"Nov 24, 2014",Squeezy: NHS Pelvic Floor App,4.726829,1024.0,3.99,False,Medical,2064.0,"50,000+",Varies with device,Everyone,
com.Slack,https://play.google.com/store/apps/details?id=com.Slack&hl=en&gl=us,,,"Jul 22, 2013",Slack,4.1763854,15010.0,0.0,True,Business,77934.0,"10,000,000+",Varies with device,Everyone,
homeworkout.homeworkouts.noequipment,https://play.google.com/store/apps/details?id=homeworkout.homeworkouts.noequipment&hl=en&gl=us,True,True,"Nov 8, 2017",Home Workout - No Equipment,4.8113823,429953.0,0.0,True,Health & Fitness,1062480.0,"100,000,000+",16M,Everyone,
com.ovz.carscanner,https://play.google.com/store/apps/details?id=com.ovz.carscanner&hl=en&gl=us,True,True,"Jan 23, 2018",Car Scanner ELM OBD2,4.674732,29587.0,0.0,True,Auto & Vehicles,58066.0,"5,000,000+",Varies with device,Everyone,
com.devexpert.weather,https://play.google.com/store/apps/details?id=com.devexpert.weather&hl=en&gl=us,True,True,"Nov 25, 2011",Weather & Clock Widget for Android,4.4925156,636653.0,0.0,True,Weather,2470369.0,"50,000,000+",17M,Everyone,
com.boranuonline.mydates2,https://play.google.com/store/apps/details?id=com.boranuonline.mydates2&hl=en&gl=us,,,"May 25, 2019",MyDates - The best way to find long lasting love,3.9048347,21964.0,0.0,True,Dating,33532.0,"1,000,000+",3.8M,Mature 17+,
air.com.rosettastone.mobile.CoursePlayer,https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer&hl=en&gl=us,,,"Mar 27, 2013",Rosetta Stone: Learn Languages,4.5850477,90043.0,0.0,True,Education,242101.0,"10,000,000+",36M,Everyone,
com.lyrebirdstudio.beauty,https://play.google.com/store/apps/details?id=com.lyrebirdstudio.beauty&hl=en&gl=us,True,True,"Jan 20, 2016","Beauty Makeup Editor: Selfie Camera, Photo Editor",3.984734,24581.0,0.0,True,Beauty,65419.0,"10,000,000+",Varies with device,Everyone,
com.lifecake.android,https://play.google.com/store/apps/details?id=com.lifecake.android&hl=en&gl=us,,,"Jan 15, 2013",Lifecake - Baby Milestone & Private Photo Album,4.5412602,8834.0,0.0,True,Parenting,26829.0,"1,000,000+",14M,Everyone,
com.ifttt.ifttt,https://play.google.com/store/apps/details?id=com.ifttt.ifttt&hl=en&gl=us,,,"Apr 24, 2014",IFTTT,4.380807,42384.0,0.0,True,Productivity,162939.0,"5,000,000+",Varies with device,Everyone,
com.ludo.king,https://play.google.com/store/apps/details?id=com.ludo.king&hl=en&gl=us,True,True,"Dec 17, 2016",Ludo King™,4.0140653,1793164.0,0.0,True,Board,5060072.0,"100,000,000+",43M,Everyone,
com.tiim.tradinggame,https://play.google.com/store/apps/details?id=com.tiim.tradinggame&hl=en&gl=us,,,"Feb 5, 2017",Shares & Forex Investing simulator - Trading Game,4.4853115,3345.0,0.0,True,Finance,8541.0,"1,000,000+",14M,Everyone,
com.doodlejoy.studio.kaleidoo,https://play.google.com/store/apps/details?id=com.doodlejoy.studio.kaleidoo&hl=en&gl=us,True,True,"Jan 17, 2013",Kaleidoo - Magic Doodle Joy Drawing Game,4.550553,36386.0,0.0,True,Casual,163497.0,"10,000,000+",4.4M,Everyone,
com.devnied.currency.free,https://play.google.com/store/apps/details?id=com.devnied.currency.free&hl=en&gl=us,True,True,"May 8, 2016",Currency Converter free,4.580473,4847.0,0.0,True,Finance,13178.0,"1,000,000+",9.6M,Everyone,
io.faceapp,https://play.google.com/store/apps/details?id=io.faceapp&hl=en&gl=us,True,True,"Feb 14, 2017",FaceApp,4.614676,1196163.0,0.0,True,Photography,2544720.0,"100,000,000+",20M,Everyone,
com.gps.route.finder.mobile.location.tracker.maps.navigation,https://play.google.com/store/apps/details?id=com.gps.route.finder.mobile.location.tracker.maps.navigation&hl=en&gl=us,True,True,"May 24, 2018",GPS Navigation - Map Locator & Route Planner,4.3886576,9851.0,0.0,True,Maps & Navigation,31764.0,"5,000,000+",6.4M,Mature 17+,Sexual Content
com.google.android.apps.translate,https://play.google.com/store/apps/details?id=com.google.android.apps.translate&hl=en&gl=us,,,,Google Translate,4.483899,1704654.0,0.0,True,Tools,7107890.0,"500,000,000+",Varies with device,Everyone,
com.cleanteam.onesecurity,https://play.google.com/store/apps/details?id=com.cleanteam.onesecurity&hl=en&gl=us,True,True,"Jan 20, 2020","One Security - Antivirus, Cleaner, Booster",4.699291,28446.0,0.0,True,Tools,61105.0,"10,000,000+",17M,Everyone,
com.nexon.kart,https://play.google.com/store/apps/details?id=com.nexon.kart&hl=en&gl=us,,,"May 11, 2020",KartRider Rush+,3.795655,53970.0,0.0,True,Racing,81177.0,"5,000,000+",Varies with device,Everyone,Mild Fantasy Violence
com.jvstudios.gpstracker,https://play.google.com/store/apps/details?id=com.jvstudios.gpstracker&hl=en&gl=us,True,True,"Dec 23, 2016","GPS Offline Maps, Directions - Explore & Navigate",4.1077285,4483.0,0.0,True,Maps & Navigation,8771.0,"5,000,000+",28M,Everyone,
com.quvideo.xiaoying,https://play.google.com/store/apps/details?id=com.quvideo.xiaoying&hl=en&gl=us,True,True,"Mar 21, 2013",Video Editor & Video Maker - VivaVideo,4.461033,4630152.0,0.0,True,Video Players & Editors,11904206.0,"100,000,000+",Varies with device,Teen,
com.sec.android.app.popupcalculator,https://play.google.com/store/apps/details?id=com.sec.android.app.popupcalculator&hl=en&gl=us,,,"Feb 8, 2017",Samsung Calculator,4.5447574,26910.0,0.0,True,Tools,181615.0,"1,000,000,000+",Varies with device,Everyone,
com.myleaderboard.GolfChannel,https://play.google.com/store/apps/details?id=com.myleaderboard.GolfChannel&hl=en&gl=us,True,True,,Golf Channel,3.514809,6580.0,0.0,True,Sports,21181.0,"1,000,000+",68M,Everyone,
es.lfp.gi.main,https://play.google.com/store/apps/details?id=es.lfp.gi.main&hl=en&gl=us,,,"Feb 29, 2012","La Liga - Live Soccer Scores, Goals, Stats & News",4.4821696,51080.0,0.0,True,Sports,209356.0,"10,000,000+",34M,Everyone,
com.yammer.v1,https://play.google.com/store/apps/details?id=com.yammer.v1&hl=en&gl=us,,,,Yammer,4.456895,15921.0,0.0,True,Business,58924.0,"5,000,000+",Varies with device,Everyone,
com.tplink.skylight,https://play.google.com/store/apps/details?id=com.tplink.skylight&hl=en&gl=us,,,"Nov 25, 2014",TP-LINK tpCamera,4.366723,8394.0,0.0,True,Libraries & Demo,17776.0,"500,000+",40M,Everyone,
com.specialyg.ippro,https://play.google.com/store/apps/details?id=com.specialyg.ippro&hl=en&gl=us,,,"Mar 30, 2016","IP Pro(VR Cam, EseeCloud)",3.3090909,5526.0,0.0,True,Libraries & Demo,9405.0,"1,000,000+",55M,Everyone,
com.beinsports.andcontent,https://play.google.com/store/apps/details?id=com.beinsports.andcontent&hl=en&gl=us,True,True,"Sep 27, 2016",beIN SPORTS,4.1107445,20800.0,0.0,True,Sports,67426.0,"10,000,000+",31M,Everyone,
com.zhiliaoapp.musically,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically&hl=en&gl=us,True,True,"Jul 9, 2015",TikTok - Make Your Day,4.3812346,9170145.0,0.0,True,Social,20333449.0,"1,000,000,000+",98M,Teen,
anime.smartroom.com.drawanime,https://play.google.com/store/apps/details?id=anime.smartroom.com.drawanime&hl=en&gl=us,True,True,"Dec 31, 2018",How to draw anime step by step,4.6035566,12226.0,0.0,True,Art & Design,19434.0,"1,000,000+",16M,Everyone,
video.like,https://play.google.com/store/apps/details?id=video.like&hl=en&gl=us,,,"Jul 26, 2017",Likee - Formerly LIKE Video,4.0269732,3492989.0,0.0,True,Video Players & Editors,6683608.0,"500,000,000+",71M,Teen,
com.mysugr.android.companion,https://play.google.com/store/apps/details?id=com.mysugr.android.companion&hl=en&gl=us,True,True,"Dec 6, 2013",mySugr - Diabetes App & Blood Sugar Tracker,4.61663,20430.0,0.0,True,Medical,41003.0,"1,000,000+",29M,Everyone,
com.tencent.mm,https://play.google.com/store/apps/details?id=com.tencent.mm&hl=en&gl=us,,,"Jan 30, 2011",WeChat,3.7052324,1480304.0,0.0,True,Communication,5841263.0,"100,000,000+",Varies with device,Everyone,
com.amazon.kindle,https://play.google.com/store/apps/details?id=com.amazon.kindle&hl=en&gl=us,True,True,"Jun 28, 2010",Amazon Kindle,4.0137944,254910.0,0.0,True,Books & Reference,955310.0,"100,000,000+",Varies with device,Teen,
com.zoosk.zoosk,https://play.google.com/store/apps/details?id=com.zoosk.zoosk&hl=en&gl=us,True,True,"Oct 8, 2010","Zoosk: Date, Connect & Find Your Best Match",3.7195916,159723.0,0.0,True,Dating,584729.0,"10,000,000+",Varies with device,Mature 17+,
tv.twitch.android.app,https://play.google.com/store/apps/details?id=tv.twitch.android.app&hl=en&gl=us,True,True,"May 20, 2015",Twitch: Livestream Multiplayer Games & Esports,4.6213765,926821.0,0.0,True,Entertainment,3265508.0,"100,000,000+",Varies with device,Teen,
com.mobills.fiftytwoweeks,https://play.google.com/store/apps/details?id=com.mobills.fiftytwoweeks&hl=en&gl=us,True,True,"Feb 9, 2018",52 Weeks Money Challenge - Free,4.793529,12863.0,0.0,True,Finance,40552.0,"1,000,000+",6.1M,Everyone,
com.com2us.golfstarworldtour.normal.freefull.google.global.android.common,https://play.google.com/store/apps/details?id=com.com2us.golfstarworldtour.normal.freefull.google.global.android.common&hl=en&gl=us,True,True,"May 2, 2013",Golf Star™,4.1321883,257557.0,0.0,True,Sports,455597.0,"10,000,000+",79M,Teen,"Violence, Blood, Suggestive Themes, Partial Nudity"
proxima.easymoney.android,https://play.google.com/store/apps/details?id=proxima.easymoney.android&hl=en&gl=us,True,True,"Jun 9, 2016",CashApp - Cash Rewards App,4.4516997,54907.0,0.0,True,Lifestyle,92904.0,"1,000,000+",8.2M,Everyone,
us.zoom.videomeetings,https://play.google.com/store/apps/details?id=us.zoom.videomeetings&hl=en&gl=us,,,"Jan 24, 2013",ZOOM Cloud Meetings,3.9031873,30558.0,0.0,True,Business,92757.0,"100,000,000+",14M,Everyone,
com.joeware.android.gpulumera,https://play.google.com/store/apps/details?id=com.joeware.android.gpulumera&hl=en&gl=us,True,True,"Nov 23, 2013","Candy Camera - selfie, beauty camera, photo editor",4.4419413,974536.0,0.0,True,Photography,3495629.0,"100,000,000+",Varies with device,Everyone,
com.ubercab,https://play.google.com/store/apps/details?id=com.ubercab&hl=en&gl=us,,,"Oct 28, 2010",Uber - Request a ride,3.9687564,2247681.0,0.0,True,Maps & Navigation,6990936.0,"500,000,000+",Varies with device,Everyone,
com.mango.android,https://play.google.com/store/apps/details?id=com.mango.android&hl=en&gl=us,,,"Apr 18, 2012",Mango Languages: Personalized Language Learning,4.725933,4579.0,0.0,True,Education,10335.0,"500,000+",7.7M,Everyone,
pdf.reader,https://play.google.com/store/apps/details?id=pdf.reader&hl=en&gl=us,True,True,"Feb 16, 2014",PDF Reader,4.2713265,96468.0,0.0,True,Books & Reference,334000.0,"10,000,000+",6.7M,Everyone,
com.anghami,https://play.google.com/store/apps/details?id=com.anghami&hl=en&gl=us,True,True,"Nov 5, 2012","Anghami - Play, discover & download new music",4.4619083,273867.0,0.0,True,Music & Audio,946991.0,"50,000,000+",20M,Teen,
com.hansdinslage.connect.HealthForYou,https://play.google.com/store/apps/details?id=com.hansdinslage.connect.HealthForYou&hl=en&gl=us,,,"Dec 1, 2017",HealthForYou,3.6903343,10940.0,0.0,True,Health & Fitness,21896.0,"500,000+",51M,Everyone,
com.sphinx.lolpics,https://play.google.com/store/apps/details?id=com.sphinx.lolpics&hl=en&gl=us,True,True,"Jul 11, 2011",LOL Pics (Funny Pictures),4.3498616,24194.0,0.0,True,Entertainment,67939.0,"1,000,000+",8.7M,Teen,
com.icandesignapp.all,https://play.google.com/store/apps/details?id=com.icandesignapp.all&hl=en&gl=us,,,"Dec 17, 2016",Room Planner: Home Interior & Floorplan Design 3D,4.4306197,16016.0,0.0,True,House & Home,39418.0,"1,000,000+",45M,Everyone,
com.amdroidalarmclock.amdroid,https://play.google.com/store/apps/details?id=com.amdroidalarmclock.amdroid&hl=en&gl=us,True,True,"May 25, 2014",Alarm Clock for Heavy Sleepers — Loud + Smart Math,4.5363197,19057.0,0.0,True,Productivity,47996.0,"1,000,000+",17M,Everyone,
com.hotornot.app,https://play.google.com/store/apps/details?id=com.hotornot.app&hl=en&gl=us,True,True,"May 22, 2013",Hot or Not - Find someone right now,4.062455,70451.0,0.0,True,Dating,337353.0,"10,000,000+",24M,Mature 17+,
com.oovoo,https://play.google.com/store/apps/details?id=com.oovoo&hl=en&gl=us,True,True,"Oct 25, 2010","ooVoo Video Calls, Messaging & Stories",4.3077626,297844.0,0.0,True,Social,1153824.0,"50,000,000+",34M,Everyone,
io.strongapp.strong,https://play.google.com/store/apps/details?id=io.strongapp.strong&hl=en&gl=us,,,"Apr 9, 2017",Strong - Workout Tracker Gym Log,4.7877865,6081.0,0.0,True,Health & Fitness,19739.0,"500,000+",97M,Everyone,
com.dualboot.apps.ocean,https://play.google.com/store/apps/details?id=com.dualboot.apps.ocean&hl=en&gl=us,,,"Aug 24, 2012",Ocean HD,4.282051,2983.0,1.99,False,Personalization,6624.0,"100,000+",8.4M,Everyone,
